Wilayah,2011,2012,2013,2014,2015
Medan Tuntungan,41974,42155,42437,42920,43325
Medan Johor,63589,63908,64336,66027,66805
Medan Amplas,58186,58612,59004,61444,62674
Medan Denai,70459,70627,71100,73754,73914
Medan Area,48791,48873,49200,50099,50095
Medan Kota,37389,37449,37700,37671,37670
Medan Maimun,20206,20243,20379,20567,20577
Medan Polonia,27109,27231,27413,28032,28313
Medan Baru,21971,22003,22150,20514,20515
Medan Selayang,50879,51189,51532,52884,53717
Medan Sunggal,57439,57542,57927,58571,58593
Medan Helvetia,74065,74308,74805,75845,76273
Medan Petisah,32431,32484,32701,32065,32071
Medan Barat,36099,36164,36406,36767,36781
Medan Timur,56071,56163,56539,56385,56384
Medan Perjuangan,48272,48359,48683,48497,48521
Medan Tembung,68303,68424,68888,69392,69419
Medan Deli,83876,84449,85014,90193,91828
Medan Labuhan,55068,55309,55679,58910,59447
Medan Marelan,71786,72645,73131,79180,82115
Medan Belawan,46701,46794,47105,49626,49650
Medan,1070664,1074929,1082123,1109343,1118687
